"","beta","HR (95% CI)","z","wald.test","P-value"
"IRX4|50805","0.14","1.1503(1.0542-1.2551)","3.1457","9.9","0.0017"
"C12orf39|80763","0.1213","1.1289(1.0468-1.2176)","3.1451","9.89","0.0017"
"KIF18A|81930","0.293","1.3405(1.1155-1.6109)","3.1259","9.77","0.0018"
"LRFN4|78999","0.2685","1.3081(1.1049-1.5486)","3.1183","9.72","0.0018"
"CNGA3|1261","-0.1148","0.8915(0.8294-0.9584)","-3.1115","9.68","0.0019"
"BEST4|266675","-0.2155","0.8062(0.7037-0.9236)","-3.105","9.64","0.0019"
"FOXL2|668","0.1465","1.1578(1.0556-1.2699)","3.1065","9.65","0.0019"
"TH|7054","0.1657","1.1802(1.0631-1.3103)","3.1069","9.65","0.0019"
"ABCC12|94160","-0.3521","0.7032(0.5633-0.8779)","-3.1111","9.68","0.0019"
"KIF4A|24137","0.2028","1.2248(1.0767-1.3932)","3.0848","9.52","0.002"
"ADAM12|8038","0.1605","1.1741(1.0605-1.2998)","3.0917","9.56","0.002"
"GRIP1|23426","0.1983","1.2194(1.0751-1.383)","3.0868","9.53","0.002"
"SLC6A17|388662","0.1321","1.1412(1.0496-1.2408)","3.0943","9.57","0.002"
"ASB16|92591","-0.2626","0.7691(0.6511-0.9084)","-3.09","9.55","0.002"
"PAICS|10606","0.4089","1.5052(1.1597-1.9535)","3.0737","9.45","0.0021"
"ENTPD7|57089","0.3748","1.4547(1.146-1.8465)","3.0801","9.49","0.0021"
"FAM131C|348487","0.1725","1.1883(1.0647-1.3262)","3.0798","9.48","0.0021"
"SNCB|6620","0.2116","1.2356(1.0794-1.4145)","3.0679","9.41","0.0022"
"KIAA1324|57535","-0.1128","0.8933(0.8312-0.9601)","-3.067","9.41","0.0022"
"CRHR2|1395","-0.2233","0.7999(0.6933-0.9228)","-3.0607","9.37","0.0022"
"CENPE|1062","0.2084","1.2317(1.0771-1.4085)","3.0452","9.27","0.0023"
"COL22A1|169044","0.1214","1.1291(1.0444-1.2206)","3.0511","9.31","0.0023"
"PLOD2|5352","0.2015","1.2232(1.0747-1.3923)","3.0501","9.3","0.0023"
"CDK5R1|8851","0.2459","1.2787(1.092-1.4974)","3.0529","9.32","0.0023"
"TRIML2|205860","0.206","1.2287(1.0766-1.4023)","3.0539","9.33","0.0023"
"DEPDC1|55635","0.1878","1.2066(1.0687-1.3623)","3.0335","9.2","0.0024"
"TACC3|10460","0.2936","1.3412(1.1092-1.6218)","3.0299","9.18","0.0024"
"HSH2D|84941","-0.2456","0.7823(0.6675-0.9168)","-3.0326","9.2","0.0024"
"HSF2BP|11077","0.2496","1.2835(1.0928-1.5075)","3.0418","9.25","0.0024"
"LRRC66|339977","0.1343","1.1437(1.0486-1.2475)","3.032","9.19","0.0024"
"MGC45800|90768","0.1682","1.1832(1.0613-1.319)","3.0329","9.2","0.0024"
"PRR11|55771","0.1715","1.1871(1.0623-1.3265)","3.0259","9.16","0.0025"
"GPR37|2861","0.1498","1.1616(1.0537-1.2805)","3.0106","9.06","0.0026"
"PAPL|390928","0.1423","1.1529(1.0511-1.2646)","3.016","9.1","0.0026"
"DRP2|1821","0.1702","1.1856(1.0608-1.325)","2.9998","9","0.0027"
"CDCA4|55038","0.3326","1.3946(1.1216-1.7341)","2.9923","8.95","0.0028"
"MTL5|9633","0.1428","1.1535(1.0505-1.2667)","2.9908","8.94","0.0028"
"ADM2|79924","-0.2178","0.8043(0.6969-0.9283)","-2.9772","8.86","0.0029"
"CEP55|55165","0.2205","1.2467(1.0781-1.4415)","2.9753","8.85","0.0029"
"SGOL2|151246","0.283","1.3271(1.1018-1.5984)","2.9819","8.89","0.0029"
"LY6K|54742","0.0937","1.0983(1.0326-1.1681)","2.9803","8.88","0.0029"
"DEPDC1B|55789","0.1914","1.211(1.0672-1.3742)","2.9679","8.81","0.003"
"CKAP2L|150468","0.2013","1.223(1.0707-1.397)","2.967","8.8","0.003"
"TPI1|7167","0.4556","1.5772(1.1679-2.1299)","2.9725","8.84","0.003"
"VCAN|1462","0.1791","1.1961(1.0626-1.3463)","2.9663","8.8","0.003"
"TEX15|56154","0.1029","1.1083(1.0356-1.1862)","2.9701","8.82","0.003"
"CTCFL|140690","0.1617","1.1755(1.0563-1.3081)","2.9636","8.78","0.003"
"PCP4L1|654790","-0.1013","0.9036(0.8452-0.9661)","-2.9719","8.83","0.003"
"RAET1G|353091","0.1862","1.2047(1.0653-1.3623)","2.9692","8.82","0.003"
"CDCA5|113130","0.2255","1.253(1.0791-1.455)","2.9582","8.75","0.0031"
